iter	Passed	Remaining
0	4	397
1	7	362
2	10	338
3	12	309
4	15	303
5	18	296
6	21	291
7	25	288
8	28	292
9	32	293
10	36	293
11	40	294
12	43	289
13	45	277
14	47	267
15	49	258
16	51	249
17	53	243
18	54	234
19	56	227
20	58	218
21	59	210
22	60	203
23	61	195
24	63	189
25	64	183
26	65	177
27	67	172
28	68	167
29	69	162
30	71	158
31	72	153
32	73	149
33	74	145
34	76	141
35	77	137
36	78	133
37	79	130
38	81	127
39	82	123
40	83	120
41	84	116
42	85	113
43	87	111
44	88	108
45	90	105
46	91	103
47	92	100
48	94	98
49	95	95
50	96	93
51	98	90
52	99	88
53	101	86
54	102	83
55	103	81
56	104	79
57	106	76
58	107	74
59	109	72
60	110	70
61	111	68
62	112	66
63	114	64
64	115	62
65	117	60
66	118	58
67	119	56
68	121	54
69	122	52
70	124	50
71	125	48
72	126	46
73	127	44
74	129	43
75	130	41
76	131	39
77	132	37
78	134	35
79	135	33
80	136	32
81	138	30
82	139	28
83	141	26
84	142	25
85	143	23
86	144	21
87	146	19
88	147	18
89	148	16
90	149	14
91	151	13
92	152	11
93	154	9
94	155	8
95	156	6
96	157	4
97	158	3
98	160	1
99	161	0
